"V1" "V2" "V3"
-15.4056713240487 -45.154465334756 -3.36624834367207
-16.5609380193503 -30.7121422549328 -3.38868657364903
-6.86769286022391 -58.571409245973 -3.8677461249854
-15.5687357866311 -41.5492198316357 -7.22303992887086
-10.1930252174278 -49.218623619575 -3.47618085997445
-20.6217638492584 -50.5109270095825 -3.95357206463814
-5.01313711702824 -51.3820105393728 -7.10306219259898
-7.45924591232132 -16.4063852959937 -5.78940823837951
-9.83973723282049 -49.2209374698592 -6.87604193039882
-20.8608668736049 -54.8462534223284 -4.69242418834141
-22.1624336848183 -35.3130197070894 -4.58529173381745
-5.40777023376957 -56.0541821141397 -3.77054349837765
-8.02992630813081 -31.263404490584 -4.18225235050007
-20.4417177616865 -29.3691731156974 -6.2023651408053
-3.01074344212892 -32.233060993132 -4.38670254535362
-3.6554085207837 -22.0271196535655 -5.69614747592381
-8.2993319414664 -60.5921833757041 -5.97584814956223
-8.32850283800169 -50.0740746786428 -6.88879020269527
-16.8214421523245 -33.5494526812905 -3.24596864612479
-6.72242586385636 -30.2290302004133 -4.2343510900225
-15.7479516474406 -55.3132118733724 -3.06653516769409
-17.3616505486625 -22.6974042892456 -6.66804116112845
-9.28498213820987 -37.0390104187859 -3.85795643925667
-10.8987213435926 -31.0840896556252 -7.4853379475443
-11.2247722148895 -63.8871971018174 -5.0689180949155
-19.5091281010554 -56.2495197589581 -6.1918802848229
-20.8610250655919 -34.0742421084887 -4.36817267822893
-14.789505535906 -42.6994892033664 -7.14143451235511
-1.50460682265899 -47.9004349203671 -6.05274084876565
-0.382834401721549 -44.6102137671577 -5.68720790015327
-7.90518122408763 -46.676734832396 -3.52403913061303
-6.08756480461512 -36.844046274821 -7.46128117121183
-20.7349317367763 -41.4584672483679 -6.72059917449951
-0.235230769370058 -39.4351572641512 -5.55510779706443
-8.61174174297003 -39.9316761817461 -3.71109618080987
-5.97623523270212 -24.6108743388478 -4.45642631228377
-4.25470610459646 -37.540072816791 -3.66967514428225
-4.38386766467474 -20.9966372937228 -5.43635144275902
-14.7577877839406 -36.5678527196248 -7.2313078324
-2.31652020386287 -46.2124229976109 -3.93789234842573
-10.0906991225023 -34.6903337331919 -3.96006358953623
-3.12159573477368 -26.3214792650799 -4.95531930479893
-20.9984387107517 -47.0462661411451 -4.14593010363371
-6.00386230349541 -30.1797837734222 -7.6377955019474
-4.83311429776643 -21.2876508612382 -6.350700512267
-9.52131741755717 -27.5185803593816 -7.59381175685573
-11.7999130270698 -55.149772904136 -6.42389316450466
-19.7741034295824 -47.5988358391656 -6.75191941526201
-5.48033243610013 -49.9541351564469 -3.46664459090079
-8.36463448971133 -22.2079617705526 -4.58337757255458
-10.2863988714703 -43.6710669307385 -3.64768051292937
-20.4081122875214 -42.9083952903748 -3.90936415269971
-2.11557285428047 -60.5608257293701 -4.63983378410339
-9.70095698897903 -21.6725811313938 -4.6149327561662
-18.5542785810388 -52.182076882625 -6.93681399718575
-11.5442972298128 -29.2926387327263 -7.36134179241686
-18.749092821805 -63.9347810565301 -5.07598093320739
-9.45123759183017 -33.3390920234449 -4.02734890128627
-6.02846755981445 -44.1815720950856 -7.22687510322122
-15.5997476457041 -59.0438566087167 -6.37948030761526
-19.1584092617035 -58.9311630725861 -5.96215608119965
-11.3256332874298 -44.6425133281284 -3.59172592229313
-8.06956169479772 -32.8598648874383 -4.07408649043033
-4.35936450322469 -50.7121960449219 -3.58700244585673
-19.228253705161 -59.3442620549883 -3.83588807071958
-14.1014277049473 -55.5811522892543 -3.29516799109323
-15.0927199925462 -57.848357370455 -6.14135024972158
-3.23234146986252 -63.9586827693841 -4.09171529916617
-19.0814815779864 -51.8916895591607 -3.45265424453606
-13.2713190379896 -48.7839224464015 -3.42173112379877
-12.0143043848933 -43.7884503967908 -7.04345108051689
-6.91197572665268 -60.1491053291921 -3.88346780819839
-15.1638892692856 -32.7520165745216 -3.36940225166611
